id,name,brand,original_price,discount,current_price,discount_rate,quantity_sold,rating_average,product_review_count,seller_id,seller_name,days_since_joined,seller_rating_average,is_official,seller_review_count,total_follower
31638135,"Combo 4 quần lót nam Boxer sợi cạp 1cm sợi tre tự nhiên mềm mịn thấm hút mồ hôi, co giãn 4 chiều MRM Manlywear - Màu ngẫu nhiên",MRM Manlywear,340000,85000,255000,25,4281,4.7,1167,55147,MRM Manlywear Official,1412,4.707,True,11633,2943
172210350,"Hộp 4 quần boxer nam thun lạnh, quần lót nam co dãn 4 chiều- Formen Shop- FMQS017",ARADO FASHION,199000,41000,158000,21,625,4.8,158,17914,FORMEN SHOP,1599,4.5441,False,4558,2041
79435123,"Áo chống nắng nam cao cấp, thông hơi, chống nắng, chống tia UV, chống bám bụi – FORMEN SHOP – FMTHT024 - XÁM TRẮNG - L",OEM,215000,86000,129000,40,1010,4.7,263,17914,FORMEN SHOP,1599,4.5441,False,4558,2041
31637590,Combo 4 quần lót nam tam giác Bamboo Organic mềm mịn thoáng mát thấm hút mồ hôi - MRM Manlywear - Màu Ngẫu Nhiên,MRM Manlywear,340000,91000,249000,27,2765,4.7,761,55147,MRM Manlywear Official,1412,4.707,True,11633,2943
99958075,"Quần đùi short gió nam thể thao Basic trẻ trung năng động, thoáng mát co giãn 4 chiều MRM Manlywear",MRM Manlywear,199000,70000,129000,35,2202,4.7,452,55147,MRM Manlywear Official,1412,4.707,True,11633,2943
196313090,"Áo khoác dù chống nắng nam, có 3 ngăn túi khóa kéo nón có thể tách rời tiện lợi - FORMENSHOP - FMTHT050",ARADO FASHION,300000,153000,147000,51,26,4.8,8,17914,FORMEN SHOP,1599,4.5441,False,4558,2041
116125747,"Áo khoác nam cao cấp AK Corner chất vải Cotton da cá 4 chiều mềm mịn thoáng mát, chống nắng tốt",AK Corner,450000,185000,265000,41,74,4.7,18,175215,A K CORNER,784,4.6182,True,1425,243
76232986,"ÁO CHÔNG NẮNG NAM, CHẤT LIỆU VẢI THÔNG HƠI, CÓ MŨ, TAY DÀI CHE KÍN BÀN TAY",Vidona Luxy. Lengend,250000,0,250000,0,149,4.1,60,146295,Vidona Store Official,984,4.2273,False,761,106
98690795,ÁO CHỐNG NẮNG NAM THÔNG HƠI,OEM,62000,0,62000,0,586,4.6,154,186446,Xưởng may Xubi,727,4.6909,False,783,213
160418420,ÁO CHỐNG NẮNG NAM THÔNG HƠI VẢI KIM CƯƠNG,OEM,58000,0,58000,0,113,4.6,26,198669,Dola Fashion,474,4.5817,False,263,38
154298071,"Combo 2 quần đùi nam, quần Short Gió nam thể thao Họa Tiết Rằn Ri trẻ trung năng động, thoáng mát co giãn 4 chiều MRM Manlywear",MRM Manlywear,399000,130000,269000,33,542,5.0,171,55147,MRM Manlywear Official,1412,4.707,True,11633,2943
98942159,"Combo 4 quần đùi nam thể thao Sport ngắn, quần short nam vải Thun Poly 2 Da thoáng mát, chất liệu hút ẩm, độ co giãn tốt",AK Corner,490000,245000,245000,50,2157,4.6,797,175215,A K CORNER,784,4.6182,True,1425,243
22654030,Hộp 4 quần lót nam Boxer ( quần sịp đùi ) hàng nhập câp cấp QL3,Nanjiren,400000,165000,235000,41,1461,4.7,407,5646,ONEZ Official Store,1788,4.3817,True,3597,1202
99968881,"Set 2 quần đùi nam, quần Short Gió nam thể thao Basic trẻ trung năng động, thoáng mát co giãn 4 chiều MRM Manlywear",MRM Manlywear,399000,144000,255000,36,1734,4.8,527,55147,MRM Manlywear Official,1412,4.707,True,11633,2943
67538621,COmbo 5 quần ĐÙI May 10,May 10,135000,15000,120000,11,15119,4.6,4681,16588,May 10,1607,4.574,False,7998,2295
