id,name,brand,original_price,discount,price,discount_rate,quantity_sold,rating_average,seller_product_id,seller_avg_rating,is_official,review_count,total_follower
205231567,"Combo 3 Quần Lót Nam Thun Cotton OneZ Dáng Trunk Co Giãn, Thoải Mái - QL1",ONEZ,199000,80000,119000,40,83.0,4.6,205231569.0,4.5436,False,4553.0,2040.0
31637590,Combo 4 quần lót nam tam giác Bamboo Organic mềm mịn thoáng mát thấm hút mồ hôi - MRM Manlywear - Màu Ngẫu Nhiên,MRM Manlywear,340000,91000,249000,27,2760.0,4.7,31637602.0,4.5436,False,4553.0,2040.0
79435123,"Áo chống nắng nam cao cấp, thông hơi, chống nắng, chống tia UV, chống bám bụi – FORMEN SHOP – FMTHT024 - XÁM TRẮNG - L",OEM,215000,86000,129000,40,1000.0,4.7,79435137.0,4.5436,False,4553.0,2040.0
99958075,"Quần đùi short gió nam thể thao Basic trẻ trung năng động, thoáng mát co giãn 4 chiều MRM Manlywear",MRM Manlywear,199000,70000,129000,35,2195.0,4.7,99958305.0,4.5436,False,4553.0,2040.0
31638135,"Combo 4 quần lót nam Boxer sợi cạp 1cm sợi tre tự nhiên mềm mịn thấm hút mồ hôi, co giãn 4 chiều MRM Manlywear - Màu ngẫu nhiên",MRM Manlywear,340000,85000,255000,25,4274.0,4.7,31638138.0,4.5436,False,4553.0,2040.0
50347611,Combo 2 Quần shorts thể thao nam dạng sọt sport đùi chất thun lạnh 4 chiều cao cấp phù hợp tập gym hay mặc nhà màu trắng và đen DUI-P101 - tặng 1 khẩu trang chống nắng,Doka,130000,51000,79000,39,341.0,4.5,50348115.0,4.5436,False,4553.0,2040.0
67538621,COmbo 5 quần ĐÙI May 10,May 10,135000,15000,120000,11,15093.0,4.6,67538623.0,4.5436,False,4553.0,2040.0
17912482,"Áo khoác nam chống nắng gió thu đông Doka (DBLS102) chất liệu dù giữ ấm cao cấp màu đen , màu xanh đen , màu xanh rêu",Doka,229000,80000,149000,35,843.0,4.5,48541096.0,4.5436,False,4553.0,2040.0
145680551,"Hộp 6 quần lót nam thun lạnh Hàn Quốc CITYMEN cao cấp co giãn 4 chiều, kháng khuẩn, thấm hút tốt ( Giao màu ngẫu nhiên )",CITYMEN,250000,140400,109600,56,2759.0,4.7,145680563.0,4.5436,False,4553.0,2040.0
22610869,"Combo 3 Áo Thun nam HÀNG HIỆU đa phong cách -  ĐB3QC16 (Chọn Màu)- Vải thun cotton có điểm đặc biệt, thân thiện với làn da, co giãn và khả năng thấm hút tốt",Doka,400000,171000,229000,43,452.0,4.5,179968372.0,4.5436,False,4553.0,2040.0
172210350,"Hộp 4 quần boxer nam thun lạnh, quần lót nam co dãn 4 chiều- Formen Shop- FMQS017",ARADO FASHION,199000,30000,169000,15,616.0,4.8,172210353.0,4.5436,False,4553.0,2040.0
98942159,"Combo 4 quần đùi nam thể thao Sport ngắn, quần short nam vải Thun Poly 2 Da thoáng mát, chất liệu hút ẩm, độ co giãn tốt",AK Corner,490000,245000,245000,50,2149.0,4.6,98942165.0,4.5436,False,4553.0,2040.0
99968881,"Set 2 quần đùi nam, quần Short Gió nam thể thao Basic trẻ trung năng động, thoáng mát co giãn 4 chiều MRM Manlywear",MRM Manlywear,399000,144000,255000,36,1726.0,4.8,99968992.0,4.5436,False,4553.0,2040.0
22492292,"Áo polo nam ngắn tay có cổ, Combo 2 áo, DokaFashion regular fit chuẩn hàng xuất, áo phông thun polo nam tay ngắn – EZ235",dokafashion,285000,126000,159000,44,913.0,4.5,22492294.0,4.5436,False,4553.0,2040.0
176250783,Áo thun nam Cotton Compact Premium trẻ trung năng động thấm hút mồ hôi co giãn 4 chiều MRM Manlywear,MRM Manlywear,249000,110000,139000,44,496.0,5.0,176250798.0,4.5436,False,4553.0,2040.0
71985742,"Áo Gió Nam, Áo khoác nam [Nhập EZAGG10K giảm 10K + Miễn Phí Vận Chuyển] Chống Thấm Nước Có Túi Trong Kèm Túi Khóa Kéo Phong Cách Trẻ Trung",dokafashion,298000,139000,159000,47,297.0,4.5,71985760.0,4.5436,False,4553.0,2040.0
22492292,"Áo polo nam ngắn tay có cổ, Combo 2 áo, DokaFashion regular fit chuẩn hàng xuất, áo phông thun polo nam tay ngắn – EZ235",dokafashion,272000,113000,159000,42,913.0,4.5,59171213.0,4.5436,False,4553.0,2040.0
